지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22105,2019-01-01 01:00,6.7,297,8.5,1029.6,28,5.1,14.4,3.5,2.3,1.7,8,46
22105,2019-01-01 02:00,7.5,294,9.9,1029.8,37,5.1,14.5,3,1.9,1.4,6.4,45
22105,2019-01-01 03:00,7.4,312,9.5,1029.4,41,4.1,14.3,3.8,2.4,1.7,8,47
22105,2019-01-01 04:00,7.5,322,10,1029.1,39,4.3,14.4,3.3,1.9,1.4,7.1,40
22105,2019-01-01 05:00,7,330,9.2,1028.6,39,4.2,14.4,3.7,2.3,1.6,8,52
22105,2019-01-01 06:00,7,316,9.3,1028.5,44,3.9,14.4,3.1,2.1,1.5,9.1,55
22105,2019-01-01 07:00,6.8,319,9.6,1028.5,49,4.1,14.4,3.5,2,1.4,8,36
22105,2019-01-01 08:00,6.1,316,8.9,1028.6,49,3.9,14.4,3,2,1.4,8,35
22105,2019-01-01 09:00,5.1,302,9.5,1028.7,50,4,14.5,2.9,1.9,1.3,7.1,23
22105,2019-01-01 10:00,5.6,305,8.6,1029,47,3.8,14.6,2.7,1.7,1.2,9.1,38
22105,2019-01-01 11:00,5.3,291,7.8,1028.4,50,3.9,14.6,3,1.7,1.2,9.1,33
22105,2019-01-01 12:00,4.3,296,6.7,1027.4,47,3.5,14.7,2.7,1.7,1.2,6.4,20
22105,2019-01-01 13:00,5.3,310,8,1026.7,47,3.3,14.6,2.8,1.5,1.1,6.4,35
22105,2019-01-01 14:00,4.2,297,6.2,1025.9,45,3.2,14.6,2.4,1.5,1.1,9.1,46
22105,2019-01-01 15:00,5,310,85,1025.6,42,3.2,14.6,2.4,1.7,1.2,9.1,35
22105,2019-01-01 16:00,5.4,312,7.9,1025.6,44,3.6,14.6,2.6,1.5,1.1,9.1,35
22105,2019-01-01 17:00,5.4,308,8.4,1026,42,4,14.1,2.5,1.5,1.1,7.1,41
22105,2019-01-01 18:00,6.3,299,9.5,1025.8,36,4.1,14.5,2.7,1.5,1,8,51
22105,2019-01-01 19:00,5.7,312,8.1,1025.9,34,3.9,14.3,2.2,1.4,1,7.1,44
22105,2019-01-01 20:00,7.8,293,10.9,1026.1,38,4.1,14,2.5,1.4,1,8,57
22105,2019-01-01 21:00,7.6,310,10.2,1026.5,41,3.3,14.1,2.5,1.7,1.2,8,47
22105,2019-01-01 22:00,8,308,11.3,1026.8,46,2.8,14.1,2.5,1.6,1.2,7.1,44
22105,2019-01-01 23:00,8,307,10.8,1026.9,51,2.9,14.1,2.8,1.8,1.3,5.3,317
22105,2019-01-02 00:00,7.1,299,10.2,1027.8,49,2.2,14.1,2.7,1.8,1.3,5.3,329
22105,2019-01-02 01:00,6.7,323,9.7,1027.9,49,2.7,14.2,2.8,1.7,1.2,7.1,48
22105,2019-01-02 02:00,6.6,324,9.7,1028.2,49,2.4,14.2,2.7,1.5,1.1,5.8,21
22105,2019-01-02 03:00,5.8,312,9.3,1028.9,50,2.6,14.3,2.4,1.6,1.1,5.8,10
22105,2019-01-02 04:00,6.2,303,9.1,1029,48,2.1,14.2,2.4,1.5,1.1,6.4,23
22105,2019-01-02 05:00,5.9,296,9.4,1028.5,49,2.4,14.3,2.3,1.5,1,6.4,29
22105,2019-01-02 06:00,4.6,289,6.8,1028.7,48,2.1,14.3,2.5,1.5,1.1,6.4,32
22105,2019-01-02 07:00,3.9,318,6.9,1029.2,45,2,14.5,2.6,1.4,1,6.4,36
22105,2019-01-02 08:00,3.2,307,6,1029.8,46,2.3,14.6,2.4,1.4,1,6.4,29
22105,2019-01-02 09:00,3.9,310,6.1,1030.2,46,2.6,14.8,2.4,1.3,.9,6.4,25
22105,2019-01-02 10:00,3,305,6.2,1030.7,45,2.7,14.8,2.3,1.3,.9,5.8,32
22105,2019-01-02 11:00,4.8,304,7,1030.5,42,2.8,14.8,2.2,1.2,.8,7.1,33
22105,2019-01-02 12:00,5.7,307,8.2,1029.7,49,3,14.9,2.6,1.3,.9,7.1,43
22105,2019-01-02 13:00,6.2,303,8.3,1028.7,48,3,14.9,2.1,1.3,.9,6.4,47
22105,2019-01-02 14:00,5.7,306,8.6,1028,45,3,15,1.7,1.2,.8,5.8,36
22105,2019-01-02 15:00,5.6,313,8.2,1027.8,41,3.1,15.1,1.9,1.1,.8,6.4,39
22105,2019-01-02 16:00,5.1,315,8.3,1028.2,41,3.3,15.1,1.8,1,.7,5.8,34
22105,2019-01-02 17:00,5.1,312,7.5,1028.4,37,3.7,15.1,1.7,1,.7,5.8,38
22105,2019-01-02 18:00,4.7,320,7,1028.3,36,3.7,15.1,1.7,.9,.7,6.4,59
22105,2019-01-02 19:00,4.1,313,7.9,1028.5,38,4.2,15.1,1.6,1,.7,6.4,45
22105,2019-01-02 20:00,4.1,318,6.7,1028.6,39,4,15.1,1.4,1,.7,5.8,31
22105,2019-01-02 21:00,5.4,308,8,1028.6,39,4.6,15.1,2,1.2,.8,7.1,45
22105,2019-01-02 22:00,5.7,311,8.4,,41,4.6,15.2,2.3,1.4,1,7.1,33
22105,2019-01-02 23:00,5.2,315,8.6,1028.6,37,4.5,15.1,2.1,1.3,.9,7.1,23
22105,2019-01-03 00:00,5.9,322,8.4,1028.7,43,4.7,15.1,2.1,1.4,1,7.1,32
22105,2019-01-03 01:00,6.2,307,8.9,1028.9,42,4,15.1,2.8,1.3,.9,7.1,40
22105,2019-01-03 02:00,5.6,312,8.2,1029.1,44,4.2,15.1,2.6,1.6,1.2,7.1,31
22105,2019-01-03 03:00,5.5,331,7.7,,39,3.7,15,2.7,1.5,1,6.4,28
22105,2019-01-03 04:00,6.2,324,8.7,1029.2,43,4.1,15,2.7,1.5,1.1,6.4,36
